"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shelter-pharma-Limited.php", "PHP", 0, 0, -159, 0, 0, -12, -171
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shelter-pharma-limited\index.php", "PHP", 0, 0, 157, 0, 0, 12, 169
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shreyas-fabtech-limited.php", "PHP", 0, 0, -82, 0, 0, -16, -98
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shreyas-fabtech-limited\index.php", "PHP", 0, 0, 77, 0, 0, 14, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\siddharth-education-Services-limited.php", "PHP", 0, 0, -160, 0, 0, -13, -173
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\siddharth-education-services-limited\index.php", "PHP", 0, 0, 161, 0, 0, 14, 175
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\silky-overseas-limited.php", "PHP", 0, 0, -79, 0, 0, -12, -91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\silky-overseas-limited\index.php", "PHP", 0, 0, 77, 0, 0, 13, 90
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\ssg-furnishing-solution-limited.php", "PHP", 0, 0, -60, 0, 0, -14, -74
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\ssg-furnishing-solution-limited\index.php", "PHP", 0, 0, 58, 0, 0, 14, 72
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\steelman-Telecom-Limited.php", "PHP", 0, 0, -140, 0, 0, -12, -152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\steelman-telecom-limited\index.php", "PHP", 0, 0, 138, 0, 0, 12, 150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\subam-papers-limited.php", "PHP", 0, 0, -119, 0, 0, -13, -132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\subam-papers-limited\index.php", "PHP", 0, 0, 117, 0, 0, 13, 130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sudarshan-pharma-industries-limited\index.php", "PHP", 0, 0, 158, 0, 0, 12, 170
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sudharshan-pharma-industries-limited.php", "PHP", 0, 0, -160, 0, 0, -12, -172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\suumaya-lifestyle-Limited.php", "PHP", 0, 0, -120, 0, 0, -12, -132
